[2025-11-05 09:14:27.447998] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:29.385785] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:14:31.681340] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:38.034381] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:38.174704] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:40.057372] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:14:51.134576] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:56.042033] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:14:57.675800] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:58.383317] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:00.697338] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:01.533817] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:15:03.145918] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:11.157384] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:34.604442] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:36.568826] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:39.395225] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:39.492498] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:15:47.724895] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:16:22.166915] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:16:22.237899] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:16:22.441126] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:16:24.101442] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:16:25.070789] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:16:28.126132] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:05.508341] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:05.637485] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:15.322816] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:24.277061] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:25.820022] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:26.061611] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:26.822487] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:26.972083] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:27.617793] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:27.688669] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:30.050910] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:32.948368] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:33.023428] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:17:36.388973] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
